"","ある(％)","ない(欲しい)(％)","ない(欲しくない)(％)","無回答(％)"
"小学5年生全体","85.0","5.9","8.1","0.9"
"困窮層","77.6","12.0","9.0","1.4"
"周辺層","81.4","7.7","10.2","0.6"
"一般層","86.7","5.4","7.0","0.9"
"中学2年生全体","88.0","3.7","7.9","0.4"
"困窮層","80.0","6.4","12.3","1.3"
"周辺層","87.2","3.5","9.0","0.3"
"一般層","89.0","3.3","7.4","0.3"
