"","合計(時間)","家事(時間)","介護・看護(時間)","育児(時間)","（参考）仕事(時間)"
"平日／夫（有業）","0:21","0:04","0:01","0:16","9:17"
"平日／妻（無業）","8:30","4:30","0:04","3:56","0:01"
"平日／妻（有業）","5:00","3:04","0:04","1:52","4:32"
"土曜日／夫（有業）","0:55","0:12","0:01","0:42","5:09"
"土曜日／妻（無業）","7:08","3:55","0:03","3:10","0:01"
"土曜日／妻（有業）","5:26","3:25","0:03","1:58","2:04"
"日曜日／夫（有業）","1:06","0:15","0:01","0:50","2:25"
"日曜日／妻（無業）","6:03","3:23","0:02","2:38","0:01"
"日曜日／妻（有業）","4:58","3:09","0:03","1:46","0:57"
