"調査年","7年度","8年度","9年度","10年度","11年度","計"
"＜男子＞／A群","583","562","518","526","540","2729"
"＜男子＞／B群","236","252","226","221","206","1141"
"＜男子＞／C群","463","497","431","393","359","2143"
"＜男子＞／D群","609","656","593","563","534","2955"
"＜男子＞／A群／B群／C群／D群","","","","","","8968"
"＜女子＞／A群","568","578","553","527","487","2713"
"＜女子＞／B群","252","231","218","220","214","1135"
"＜女子＞／C群","451","452","442","437","397","2179"
"＜女子＞／D群","609","631","570","513","499","2822"
"＜女子＞／A群／B群／C群／D群","","","","","","8849"
"＜計＞／A群","1151","1140","1071","1053","1027","5442"
"＜計＞／B群","488","483","444","441","420","2276"
"＜計＞／C群","914","949","873","830","756","4322"
"＜計＞／D群","1218","1287","1163","1076","1033","5777"
"＜計＞／A群／B群／C群／D群","","","","","","17817"
