"","昭和35年","昭和40年","昭和45年","昭和50年","昭和55年","昭和60年","平成2年","平成7年","平成17年(人)","平成20年(人)"
"東京都(左目盛)","","","","","","","","","96542","106015"
"全国(右目盛)","","","","","","","","","1062530","1091150"
