"","H12(%)","H13(%)","H14(%)","H15(%)","H16(%)","H17(%)","H18(%)","H19(%)","H20(%)","H21(%)"
"男／総数","11.7","12.5","14.8","15.2","15.9","17.8","18.4","18.3","18.6","17.7"
"男／15～24歳","","","","","","","","","",""
"男／25～34歳","","","","","","","","","",""
"男／35～44歳","","","","","","","","","",""
"男／45～54歳","","","","","","","","","",""
"男／55～64歳","","","","","","","","","",""
"男／65歳以上","","","","","","","","","",""
"女／総数","46.2","47.7","48.1","51.1","52.5","51.7","52.9","54.0","54.2","53.6"
"女／15～24歳","","","","","","","","","",""
"女／25～34歳","","","","","","","","","",""
"女／35～44歳","","","","","","","","","",""
"女／45～54歳","","","","","","","","","",""
"女／55～64歳","","","","","","","","","",""
"女／65歳以上","","","","","","","","","",""
