"(単位 人 ％)","待機児童数(全体)","待機児童数(ひとり親)","待機児童のうちひとり親家庭の子供の割合(%)","待機児童数(ひとり親)／(内訳)就労中(常勤)(人)","待機児童数(ひとり親)／(内訳)就労中(常勤)(%)","待機児童数(ひとり親)／(内訳)就労中(非常勤)(人)","待機児童数(ひとり親)／(内訳)就労中(非常勤)(%)","待機児童数(ひとり親)／(内訳)求職中(人)","待機児童数(ひとり親)／(内訳)求職中(%)","待機児童数(ひとり親)／(内訳)その他(人)","待機児童数(ひとり親)／(内訳)その他(%)"
"H22","8435","602","7.1","","","","","","","",""
"H23","7855","531","6.8","","","","","","","",""
"H24","7257","487","6.7","","","","","","","",""
"H25","8117","557","6.9","","","","","","","",""
"H26","8672","554","6.4","76","13.7","91","16.4","324","58.5","63","11.4"
