"食品群別","摂取量(g)","エネルギー(kcal)","たんぱく質(g)","脂質(g)","炭水化物(g)","食塩相当量(g)","カリウム(mg)","カルシウム(mg)","鉄(mg)","ビタミンA(ugRE)","ビタミンB1(mg)","ビタミンB2(mg)","ナイアシン(mgNE)","ビタミンＣ(mg)","食物繊維／総量(g)","食物繊維／水溶性(g)","食物繊維／不溶性(g)","コレステロール(mg)","マグネシウム(mg)","リン(mg)","銅(mg)"
"調査人数","433","433","433","433","433","433","433","433","433","433","433","433","433","433","433","433","433","433","433","433","433"
"総量","2210.8","1849","69.1","57.8","243.2","9.7","2266","510","7.3","530","0.86","1.14","14.6","92","14.2","3.4","10.3","307","241","993","1.08"
"動物性食品","343.8","481","38.0","29.5","12.0","1.5","614","236","2.1","197","0.40","0.61","7.8","6","0.0","0.0","0.0","285","57","502","0.18"
"植物性食品","1867.0","1368","31.1","28.3","231.2","8.2","1653","274","5.2","333","0.45","0.53","6.7","86","14.2","3.4","10.3","21","184","490","0.89"
"穀類","396.2","715","14.9","4.8","147.2","0.9","165","37","1.0","2.0","0.14","0.08","1.4","0","3.1","0.7","2.4","2","40","173","0.38"
"米･加工品","267.1","451","6.8","0.8","99.4","0","80","8","0.3","0","0.06","0.03","0.6","0","0.9","0.0","0.8","0","20","94","0.27"
"米","262.5","442","6.6","0.8","97.6","0.0","78","8","0.3","0","0.06","0.03","0.6","0","0.8","0.0","0.8","0","19","92","0.26"
"米加工品","4.5","9","0.2","0.0","1.9","0.0","2","0","0.0","0","0.00","0.00","0.0","0","0.0","0.0","0.0","0","0","2","0.00"
"小麦･加工品","115.1","243","7.5","3.8","43.6","0.9","80","27","0.6","2","0.07","0.05","0.7","0","2.0","0.7","1.3","2","17","69","0.10"
"小麦粉類","3.5","13","0.3","0.1","2.7","0.0","4","1","0.0","0","0.00","0.00","0.0","0","0.1","0.0","0.0","0","1","3","0.00"
"パン類(菓子パンを除く","39.5","112","3.7","2.4","18.8","0.5","42","12","0.3","0","0.03","0.02","0.5","0","0.9","0.3","0.7","0","8","34","0.05"
"菓子パン類","4.3","14","0.3","0.4","2.2","0.0","5","2","0.0","2","0.00","0.00","0.0","0","0.1","0.0","0.0","2","1","4","0.00"
"うどん､中華めん類","50","69","2.0","0.3","13.8","0.1","21","6","0.1","0","0.01","0.00","0.1","0","0.6","0.2","0.4","0","3","18","0.02"
"即席中華めん","2.3","9","0.2","0.3","1.3","0.1","5","5","0.0","0","0.01","0.01","0.0","0","0.1","0.0","0.0","0","1","3","0.00"
"パスタ類","9.9","15","0.5","0.1","2.8","0.0","1","1","0.1","0","0.00","0.00","0.0","0","0.1","0.0","0.1","0","2","5","0.01"
"その他の小麦加工品","5.6","12","0.4","0.1","2.1","0","3","1","0","0","0","0","0","0","0.1","0","0.1","0","1","3","0.01"
"その他の穀類･加工品","14.0","21","0.7","0.1","4.1","0.0","5","1","0.1","0","0.01","0.00","0.1","0","0.3","0.1","0.2","0","4","10","0.01"
"そぱ･加工品","11.5","15","0.6","0.1","2.9","0.0","3","1","0.1","0","0.01","0.00","0.1","0","0.2","0.1","0.2","0","3","9","0.01"
"とうもろこし･加工品","1.0","4","0.1","0.0","0.8","0.0","1","0","0.0","0","0.00","0.00","0.0","0","0.0","0.0","0.0","0","0","0","0.00"
"その他の穀類","1.5","2","0.0","0.0","0.5","0.0","1","0","0.0","0","0.00","0.00","0.0","0","0.1","0.0","0.0","0","0","1","0.00"
