"","よい(％)","まあよい(％)","ふつう(％)","あまりよくない(％)","よくない(％)","無回答(％)"
"小学5年生","46.2","8.2","39.5","5.3","0.6","0.3"
"中学2年生","42.7","8.0","41.9","6.3","0.6","0.5"
"16－17歳","38.9","9.3","42.6","7.8","0.6","0.7"
