"","青梅市","青梅市(%)","東大和市","東大和市(%)","八王子市","八王子市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","合計","合計(%)"
"男子／7年","20","4.3","13","3.9","22","6.1","13","4.2","17","3.8","29","7.8","19","4.6","133","4.9"
"男子／8年","11","2.6","14","4.3","17","4.7","13","4.1","10","2.3","17","4.7","10","2.4","92","3.5"
"男子／9年","17","4.3","17","5.3","9","2.6","9","3.4","13","3.2","11","3.3","17","4.0","93","3.7"
"男子／10年","14","3.5","10","3.0","15","4.5","9","3.8","4","1.1","11","3.5","13","3.1","76","3.2"
"男子／11年","21","5.3","14","4.2","16","5.2","5","2.2","5","1.5","12","4.0","12","3.0","85","3.7"
"女子／7年","33","7.5","26","8.1","42","12.0","23","7.5","20","4.5","26","8.2","35","8.7","205","7.9"
"女子／8年","31","7.2","27","8.5","24","7.4","24","7.8","29","6.7","22","7.2","19","4.9","176","7.0"
"女子／9年","36","8.7","21","6.6","16","5.3","12","4.2","22","5.5","18","6.0","14","3.9","139","5.8"
"女子／10年","28","7.1","17","5.4","18","5.9","10","3.6","15","4.1","23","7.8","14","4.2","125","5.5"
"女子／11年","38","10.1","29","9.7","17","5.7","14","5.3","22","6.4","17","6.0","20","5.7","157","7.1"
"計／7年","53","5.9","39","5.9","64","9.0","36","5.9","37","4.1","55","8.0","54","6.6","338","6.4"
"計／8年","42","4.9","41","6.4","41","6.0","37","6.0","39","4.5","39","5.9","29","3.6","268","5.2"
"計／9年","53","6.5","38","6.0","25","3.9","21","3.8","35","4.4","29","4.6","31","4.0","232","4.8"
"計／10年","42","5.3","27","4.2","33","5.2","19","3.7","19","2.6","34","5.6","27","3.6","201","4.3"
"計／11年","59","7.6","43","6.8","33","5.4","19","3.9","27","4.0","29","5.0","32","4.3","242","5.4"
