"","就労している(%)","就労していない(%)"
"15歳","8.0","92.0"
"16歳","19.7","80.3"
"17歳","26.4","73.6"
"18歳","52.6","47.5"
"19歳","61.1","39.0"
"20歳","76.9","23.1"
"21歳","81.5","18.6"
"22歳","78.6","21.4"
