"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"わからない","279","92.4","243","77.2"
"やめられる","1","0.3","2","0.6"
"いつでもやめられると思う","8","2.7","11","3.5"
"やめられないと思う","10","3.3","59","18.7"
"無記入","4","1.3","","0.0"
"合計","302","100.0","315","100.0"
