"","預かる(%)","預からない(%)","その他(%)","無回答(%)"
"全施設（n=5348）","89.8","","",""
"認可保育所＊（n=1588）","98.2","","",""
"認証保育所＊（n=527）","95.6","","",""
"認定こども園＊（n=95）","95.8","","",""
"幼稚園＊（n=666）","89.3","","",""
"ベビーホテル（n=331）","83.7","","",""
"家庭的保育（n=596）","50.5","","",""
"学童保育（n=1169）","97.9","","",""
"上記以外の施設（n=376）","88.3","","",""
"＊前回調査施設 （再掲）（n=2876）","95.6","","","" 
