"上段：度数／下段：%","n=","２日以下","３日","４日","５日","６日以上","無回答","平均値"
"ＴＯＴＡＬ","8214","276","488","670","4830","1757","193","4.9"
"ＴＯＴＡＬ","100","3.4","5.9","8.2","58.8","21.4","2.3",""
"性別・年代／女性計","7526","269","457","633","4386","1614","167","4.9"
"性別・年代／女性計","100","3.6","6.1","8.4","58.3","21.4","2.2",""
"性別・年代／女性２０代","3297","19","34","75","2102","1001","66","5.2"
"性別・年代／女性２０代","100","0.6","1.0","2.3","63.8","30.4","2.0",""
"性別・年代／女性３０代","1612","53","89","150","970","312","38","4.9"
"性別・年代／女性３０代","100","3.3","5.5","9.3","60.2","19.4","2.4",""
"性別・年代／女性４０代","1560","105","195","246","803","174","37","4.5"
"性別・年代／女性４０代","100","6.7","12.5","15.8","51.5","11.2","2.4",""
"性別・年代／女性５０代以上","1005","91","134","157","483","115","25","4.4"
"性別・年代／女性５０代以上","100","9.1","13.3","15.6","48.1","11.4","2.5",""
"性別・年代／男性計","380","1","3","6","275","82","13","5.2"
"性別・年代／男性計","100","0.3","0.8","1.6","72.4","21.6","3.4",""
"性別・年代／男性２０代","281","1","1","4","201","63","11","5.2"
"性別・年代／男性２０代","100","0.4","0.4","1.4","71.5","22.4","3.9",""
"性別・年代／男性３０代以上","99","0","2","2","74","19","2","5.1"
"性別・年代／男性３０代以上","100","0.0","2.0","2.0","74.7","19.2","2.0",""
"性別・年代／無回答","308","6","28","31","169","61","13","4.8"
"性別・年代／無回答","100","1.9","9.1","10.1","54.9","19.8","4.2",""
