"","使ってみたい(％)","興味がある(％)","使いたくない(％)","使う必要はない(％)","無回答(％)"
"家以外で平日の放課後に夜までいられる場所","26.8","26.6","11.7","33.7","1.2"
"家以外で休日にいることができる場所","31.9","28.9","8.8","29.0","1.4"
"家の人がいない時、夕ごはんをみんなで食べることができる場所","23.8","20.9","12.4","41.2","1.7"
"家で勉強できない時、静かに勉強ができる場所","37.7","27.8","6.9","25.7","1.9"
"大学生が勉強を無料でみてくれる場所","26.2","28.8","16.1","27.5","1.4"
"学校以外でなんでも相談できる場所","19.4","29.6","13.6","35.8","1.6"
