"","H5","H6","H7","H8","H9","H10","H11","H12","H13","H14","H15","H16"
"2歳児(人)","61","58","62","67","71","72","95","150","158","195","233","230"
"1歳児(人)","95","123","138","155","149","206","207","250","340","357","358","406"
"0歳児(人)","542","520","560","528","612","568","526","565","553","512","534","540"
