"年齢","人","平均値(μgRE)","標準偏差(μgRE)","パーセンタイル／1(μgRE)","パーセンタイル／5(μgRE)","パーセンタイル／10(μgRE)","パーセンタイル／25(μgRE)","パーセンタイル／50(中央値)(μgRE)","パーセンタイル／75(μgRE)","パーセンタイル／90(μgRE)","パーセンタイル／95(μgRE)","パーセンタイル／99(μgRE)"
"男性総数","205","561","864","62","87","168","277","387","597","901","1304","4076"
"1～2歳","4","314","161","94","125","164","281","352","384","433","449","462"
"3～5歳","5","311","172","119","140","167","247","275","335","483","533","572"
"6～7歳","6","473","304","200","228","262","333","348","520","808","924","1017"
"8～9歳","3","339","101","261","264","269","282","303","378","423","438","450"
"10～11歳","5","593","279","305","311","319","342","597","760","882","923","956"
"12～14歳","8","523","359","247","260","278","319","392","520","960","1130","1267"
"15～17歳","6","465","127","302","310","319","369","476","562","599","606","611"
"18～29歳","20","881","2024","52","104","163","220","415","645","901","1443","7812"
"30～49歳","42","464","374","67","83","114","209","403","595","796","1330","1680"
"50～69歳","60","663","997","66","145","194","244","386","674","1108","1448","5040"
"70歳以上","46","466","291","68","79","234","291","406","532","882","1106","1322"
"女性総数","228","502","451","50","101","177","291","418","608","803","1053","1765"
"1～2歳","3","419","33","382","386","391","408","435","438","439","440","440"
"3～5歳","2","943","928","300","353","418","615","943","1271","1468","1534","1586"
"6～7歳","6","394","188","162","194","234","317","368","436","581","649","703"
"8～9歳","4","406","166","251","265","282","335","367","439","560","600","632"
"10～11歳","1","389","0","389","389","389","389","389","389","389","389","389"
"12～14歳","8","484","110","348","348","349","362","532","571","589","592","595"
"15～17歳","7","373","145","194","205","218","264","402","444","532","568","597"
"18～29歳","17","506","517","158","188","228","308","383","466","641","1018","2151"
"30～49歳","60","497","686","70","83","127","267","378","528","724","956","2967"
"50～69歳","71","546","326","35","76","209","374","492","685","858","1040","1720"
"70歳以上","49","477","307","48","110","175","236","430","644","810","1061","1366"
"(再掲)妊婦","1","417","0","417","417","417","417","417","417","417","417","417"
"授乳婦","1","393","0","393","393","393","393","393","393","393","393","393"
