"肥満とやせの状況","島しょ全体(%)","大島出張所管内(%)","大島町(%)","利島村(%)","新島村(%)","神津島村(%)"
"肥満","27.3","29.3","28.7","35.0","27.6","30.9"
"普通","68.4","66.1","65.9","65.0","70.1","60.5"
"やせ","4.3","4.6","5.4","0.0","2.2","8.6"
