"課局","係","電話番号庁舎","主な担当業務","関係委員会・団体・施設"
"都市計画課","計画調整担当","470-7762／本庁舎5階","都市計画（基本計画）の企画及び調整、計画決定等（縦覧）、都市計画審議会、都市計画マスタープラン、都営住宅等の募集",""
"都市計画課","土地利用計画担当","470-7782／本庁舎5階","市街地開発事業、土地区画整理事業、建築協定及び地区計画、生産緑地、住居表示（街区符号）の変更、公的住宅（高齢者福祉住宅を除く）、都営住宅公社住宅の建替え",""
"都市計画課","街路交通計画係","470-7768／本庁舎5階","都市計画道路の計画・総合調整、都施行の道路整備にかかわる調整、交通災害共済（ちょこっと共済）の事務、交通安全教育交通安全運動の推進、地域公共交通（コミュニティバスなど）の調査検討、自転車等駐車場の付置義務の指導","交通安全協会"
"都市計画課","住宅開発指導係","470-7782／本庁舎5階","宅地開発、宅地分割、中高層建築物、位置指定道路、電波障害、宅地造成等規制法の指定地域調査、マンション管理適正化法",""
"都市計画課","用地係","470-7768／本庁舎5階","用地の取得及び登記、地価公示図書の閲覧、東久留米市土地開発公社との連絡調整、都市計画事業及び法定外公共物に係る普通財産の処分、国土利用計画法及び公有地の拡大の推進に関する法律",""
"施設管理課","管財担当","470-7766／本庁舎5階","道路の認定・廃止・変更、道路・水路等の境界確定国有財産事務（法定外法定公共物）、道路台帳・橋りょう台帳の管理、私道の寄付受領",""
"施設管理課","管理調整担当","470-7764／本庁舎5階","道路占用許可・道路占用料、公共物（水路等）の占用許可・占用料、屋外広告物、河川総合治水、放置自転車・自動車対策、自転車等駐車場運営","都北多摩北部建設事務所、都多摩建築指導事務所"
"施設管理課","道路・河川施設担当","470-7767／本庁舎5階","道路・橋りょう・道路付属物の維持管理、道路・橋りょう・河川の維持補修計画、駅周辺管理、交通安全施設管理、防犯灯管理、防犯灯維持管理費補助",""
"施設管理課","土木工事係","470-7755／本庁舎5階","道路事業の計画立案調査、交通安全施設、道路・橋りょう・河川・下水道・公園・道路附属物の設計・監督、私道の整備に関する事業の審査・決定",""
"施設管理課","建築営繕係","470-7756／本庁舎5階","市の建築物の建築及び設備に関する設計・監督、東京都福祉のまちづくり条例に関する審査","被災建築物応急危険度判定連絡会"
"施設管理課","下水道計画係","470-7758／本庁舎5階","下水道事業の計画・経営、下水道使用料、下水道事業の許可変更、起債、国都補助金、流域下水道・関係団体との協議・連絡・調整",""
"施設管理課","下水道施設係","470-7759／本庁舎5階","下水道工事、開発行為・道路位置指定の公共下水道に関する調整指導、公共下水道の供用開始、公共下水道本管接続許可、水洗化の普及促進、公共ます・取出管設置工事、管路施設の維持管理、公共下水道台帳","下水道指定エ事店"
