"","平成6年(千人)","平成7年(千人)","平成8年(千人)","平成9年(千人)","平成10年(千人)","平成11年(千人)","平成12年(千人)","平成13年(千人)","平成14年(千人)","平成15年(千人)","平成16年(千人)","平成17年(千人)","平成18年(千人)","平成19年(千人)","平成20年(千人)","平成21年(千人)"
"就学前児童(0～5歳)","574","566","562","562","564","569","575","576","582","586","588","590","589","589","592","594"
"年少人口(14歳以下)","1557","1521","1492","1469","1453","1441","1430","1427","1428","1433","1435","1446","1452","1461","1472","1482"
