"","A群","A群","B群","B群","C群","C群","D群","D群","群","年度","群×年度"
"<0.75秒量>／7年","","","","","","","","","","",""
"<0.75秒量>／8年","1.98","0.25","1.99","0.24","1.99","0.24","1.98","0.25","","",""
"<0.75秒量>／9年","1.97","0.23","1.98","0.24","1.98","0.24","1.99","0.24","","",""
"<0.75秒量>／10年","2.00","0.25","2.00","0.23","1.98","0.24","1.99","0.23","","",""
"<0.75秒量>／11年","1.96","0.24","1.98","0.23","1.98","0.24","1.96","0.25","","",""
"<0.75秒量>／p値","","","","","","","","","0.638","0.002","0.449"
"<0.75秒率>／7年","","","","","","","","","","",""
"<0.75秒率>／8年","81.4","6.55","81.2","6.25","81.9","5.96","81.1","6.68","","",""
"<0.75秒率>／9年","81.6","6.09","81.8","6.07","82.1","6.23","81.6","6.14","","",""
"<0.75秒率>／10年","81.8","6.12","82.3","5.90","82.0","6.18","81.5","5.95","","",""
"<0.75秒率>／11年","82.0","6.20","81.7","6.18","82.1","5.99","81.6","6.37","","",""
"<0.75秒率>／p値","","","","","","","","","0.000","0.003","0.839"
"＜V25＞／7年","1.50","0.45","1.51","0.45","1.47","0.45","1.47","0.43","","",""
"＜V25＞／8年","1.48","0.46","1.47","0.43","1.48","0.44","1.46","0.45","","",""
"＜V25＞／9年","1.46","0.42","1.47","0.45","1.48","0.44","1.46","0.44","","",""
"＜V25＞／10年","1.49","0.44","1.50","0.45","1.48","0.44","1.45","0.43","","",""
"＜V25＞／11年","1.47","0.44","1.48","0.44","1.46","0.44","1.44","0.44","","",""
"＜V25＞／p値","","","","","","","","","0.019","0.143","0.795"
