"","有効回答数","喫煙経験者数(人)","喫煙経験率(%)"
"小学6年生／総数","302","5","1.7"
"小学6年生／男子","145","3","2.1"
"小学6年生／女子","157","2","1.3"
"中学3年生／総数","315","7","2.2"
"中学3年生／男子","155","5","3.2"
"中学3年生／女子","160","2","1.3"
"総計","617","12","1.9"
