"","(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)","(9)","(10)","(11)","(12)"
"方法／水温","冷水","冷水","冷水","温水（40℃）","温水（40℃）","温水（40℃）","温水（40℃）","温水（40℃）","温水（40℃）","温水（40℃）","温水（40℃）","温水（40℃）"
"方法／つけ置き","","","","","","","温水","温水","温水","温水＋洗剤","温水＋洗剤","温水＋洗剤"
"方法／洗浄器具","ス","研","メ","ス","研","メ","ス","研","メ","ス","研","メ"
"回数／1回","+","+","+","+","+","+","+","+","+","+","-","-"
"回数／2回","+","+","+","+","+","+","+","-","-","-","-","-"
"回数／3回","+","+","+","+","+","+","+","-","-","-","-","-"
