"","青梅市","青梅市","東大和市","東大和市","八王子市","八王子市","中野区","中野区","豊島区","豊島区","品川区","品川区","足立区","足立区","分散分析"
"<0.75秒量>／8年","2.01","0.26","2.00","0.23","2.01","0.25","2.05","0.26","2.01","0.26","1.99","0.21","2.02","0.23",""
"<0.75秒量>／9年","2.00","0.22","1.99","0.22","2.00","0.24","2.00","0.24","2.00","0.24","1.99","0.23","2.01","0.24",""
"<0.75秒量>／10年","2.02","0.23","2.00","0.25","2.02","0.22","1.99","0.25","2.00","0.24","2.00","0.21","2.02","0.22",""
"<0.75秒量>／11年","1.99","0.22","1.97","0.21","2.01","0.23","2.04","0.22","1.98","0.28","1.98","0.23","2.02","0.23",""
"<0.75秒量>／分散分析／地区","","","","","","","","","","","","","","","0.021"
"<0.75秒量>／分散分析／年度","","","","","","","","","","","","","","","0.290"
"<0.75秒量>／分散分析／地区×年度","","","","","","","","","","","","","","","0.715"
"<0.75秒率>／8年","79.8","7.05","80.8","5.62","79.7","6.34","80.6","5.85","79.5","6.53","80.8","6.08","80.1","6.16",""
"<0.75秒率>／9年","79.9","6.53","80.1","5.61","80.4","6.31","80.6","6.52","80.3","5.83","81.0","6.03","80.3","6.18",""
"<0.75秒率>／10年","80.1","6.33","80.0","6.18","80.9","6.03","80.1","6.58","80.3","5.85","80.8","5.56","79.9","5.82",""
"<0.75秒率>／11年","81.0","6.51","80.3","6.27","80.4","6.15","81.1","5.88","80.0","6.60","80.8","5.93","80.4","6.32",""
"<0.75秒率>／分散分析／地区","","","","","","","","","","","","","","","0.073"
"<0.75秒率>／分散分析／年度","","","","","","","","","","","","","","","0.351"
"<0.75秒率>／分散分析／地区×年度","","","","","","","","","","","","","","","0.707"
"<V25>／7年","1.45","0.44","1.45","0.42","1.44","0.45","1.42","0.41","1.40","0.40","1.40","0.37","1.39","0.40",""
"<V25>／8年","1.44","0.47","1.43","0.40","1.40","0.42","1.45","0.44","1.39","0.41","1.43","0.42","1.41","0.39",""
"<V25>／9年","1.39","0.43","1.38","0.38","1.40","0.46","1.41","0.43","1.39","0.41","1.43","0.43","1.39","0.42",""
"<V25>／10年","1.41","0.41","1.39","0.44","1.43","0.42","1.41","0.44","1.39","0.41","1.41","0.40","1.37","0.41",""
"<V25>／11年","1.45","0.42","1.39","0.40","1.43","0.46","1.45","0.40","1.39","0.43","1.40","0.40","1.40","0.42",""
"<V25>／分散分析／地区","","","","","","","","","","","","","","","0.148"
"<V25>／分散分析／年度","","","","","","","","","","","","","","","0.332"
"<V25>／分散分析／地区×年度","","","","","","","","","","","","","","","0.983"
