"保育士として就業しなかった理由","回答(%)"
"別の職業を希望した","49.1"
"別の職業を希望した","21.5"
"希望する給与等待遇の求人がなかった","17.4"
"勤務日数・時間が合致する求人がなかった","13.8"
"家庭・育児に専念したかった","9.9"
"自分には適正がないと感じた","8.4"
"資格取得が目的で、保育士として働く意思はなかった","7.8"
"就職活動をしたが採用されなかった","4.3"
"働く必要がなかった","3.7"
"家族等の意向","2.2"
"そもそも保育士の求人がなかった","1.4"
"その他","28.3"
"その他","20.3"
