"","施設総数","常勤職員1人当たり児童数からみた施設数／０人(人)","常勤職員1人当たり児童数からみた施設数／割合(%)","常勤職員1人当たり児童数からみた施設数／１～２人(人)","常勤職員1人当たり児童数からみた施設数／割合(%)","常勤職員1人当たり児童数からみた施設数／３～４人(人)","常勤職員1人当たり児童数からみた施設数／割合(%)","常勤職員1人当たり児童数からみた施設数／５～９人(人)","常勤職員1人当たり児童数からみた施設数／割合(%)","常勤職員1人当たり児童数からみた施設数／10人～(人)","常勤職員1人当たり児童数からみた施設数／割合(%)","常勤職員1人当たり児童数からみた施設数／20人～(人)","常勤職員1人当たり児童数からみた施設数／割合(%)","常勤職員1人当たり児童数からみた施設数／30人～(人)","常勤職員1人当たり児童数からみた施設数／割合(%)","常勤職員1人当たり児童数からみた施設数／無回答(人)","常勤職員1人当たり児童数からみた施設数／割合(%)"
"認可保育所＊","1588","1","0.1","75","4.7","657","41.4","816","51.4","12","0.8","5","0.3","8","0.5","14","0.9"
"認証保育所＊","527","1","0.2","56","10.6","359","68.1","103","19.5","4","0.8","1","0.2","","","3","0.6"
"認定こども園＊","95","","","7","7.4","19","20.0","37","38.9","29","30.5","1","1.1","1","1.1","1","1.1"
"幼稚園＊","666","","","","","4","0.6","91","13.7","521","78.2","34","5.1","10","1.5","6","0.9"
"ベビーホテル","331","2","0.6","59","17.8","100","30.2","79","23.9","32","9.7","3","0.9","3","0.9","53","16.0"
"家庭的保育","596","1","0.2","296","49.7","190","31.9","54","9.1","","","","","","","55","9.2"
"学童保育","1169","","","6","0.5","15","1.3","109","9.3","374","32.0","216","18.5","264","22.6","185","15.8"
"上記以外の施設","376","8","2.1","83","22.1","102","27.1","74","19.7","31","8.2","3","0.8","8","2.1","67","17.8"
"総数","5348","13","0.2","582","10.9","1446","27.0","1363","25.5","1003","18.8","263","4.9","294","5.5","384","7.2"
"＊前回調査施設 (再掲）","2876","2","0.1","138","4.8","1039","36.1","1047","36.4","566","19.7","41","1.4","19","0.7","24","0.8" 
