"","中学校卒業","高校卒業","高等専門学校卒業","専修学校・各種学校卒業","短大卒業","大学・大学院卒業"
"全体(74)(%)","10.8","39.2","1.4","14.9","6.8","27.0"
"男性(30)(%)","20.0","36.7","0.0","3.3","0.0","40.0"
"女性(44)(%)","4.5","40.9","2.3","22.7","11.4","18.2"
