"","青梅市","青梅市","東大和市","東大和市","八王子市","八王子市","中野区","中野区","豊島区","豊島区","品川区","品川区","足立区","足立区","分散分析／有意確率"
"【男子】／<％0.75秒量>／8年","99.1","12.1","98.6","11.3","99.1","12.4","101.4","12.8","98.9","12.3","98.2","10.5","99.4","11.6",""
"【男子】／<％0.75秒量>／9年","98.5","10.7","98.0","11.1","98.3","10.9","98.5","11.2","99.1","11.7","98.3","11.3","99.6","11.4",""
"【男子】／<％0.75秒量>／10年","99.8","11.3","98.8","12.4","100.0","11.0","98.2","12.0","98.8","11.4","98.7","10.2","99.9","10.7",""
"【男子】／<％0.75秒量>／11年","98.6","11.2","97.5","10.4","99.5","10.7","100.8","10.7","97.7","13.0","97.5","11.1","99.5","10.9",""
"【男子】／<％0.75秒量>／分散分析／地区","","","","","","","","","","","","","","","0.017"
"【男子】／<％0.75秒量>／分散分析／年度","","","","","","","","","","","","","","","0.284"
"【男子】／<％0.75秒量>／分散分析／地区×年度","","","","","","","","","","","","","","","0.545"
"【男子】／<％V25>／7年","101.9","30.7","103.0","29.5","101.8","31.1","100.9","29.2","99.0","28.4","98.8","26.6","97.3","27.8",""
"【男子】／<％V25>／8年","99.7","31.0","99.7","28.0","98.5","29.2","102.1","31.4","97.6","28.4","99.8","28.2","98.2","27.2",""
"【男子】／<％V25>／9年","97.4","29.2","97.4","27.3","97.3","29.7","98.1","28.6","97.4","28.2","100.6","30.6","98.2","29.6",""
"【男子】／<％V25>／10年","99.8","29.6","98.5","30.5","101.0","30.3","99.5","30.8","98.0","28.9","99.4","28.0","96.7","28.8",""
"【男子】／<％V25>／11年","102.5","30.1","97.5","27.6","101.2","31.4","102.1","29.4","97.5","30.4","97.9","26.9","99.2","29.1",""
"【男子】／<％V25>／分散分析／地区","","","","","","","","","","","","","","","0.131"
"【男子】／<％V25>／分散分析／年度","","","","","","","","","","","","","","","0.220"
"【男子】／<％V25>／分散分析／地区×年度","","","","","","","","","","","","","","","0.930"
"【女子】／<％0.75秒量>／8年","99.5","12.6","99.6","12.5","101.2","20.9","101.4","12.7","98.8","12.7","98.2","10.9","100.4","12.5",""
"【女子】／<％0.75秒量>／9年","99.8","12.2","98.6","11.5","99.6","11.8","100.4","11.6","98.4","12.2","99.5","12.8","102.0","11.1",""
"【女子】／<％0.75秒量>／10年","100.7","12.2","101.2","12.3","101.1","11.8","99.7","11.6","99.5","10.9","100.6","12.7","101.3","12.7",""
"【女子】／<％0.75秒量>／11年","98.3","12.1","97.8","13.3","99.1","11.5","99.0","12.7","95.9","12.6","99.8","12.6","99.6","11.3",""
"【女子】／<％0.75秒量>／分散分析／地区","","","","","","","","","","","","","","","0.000"
"【女子】／<％0.75秒量>／分散分析／年度","","","","","","","","","","","","","","","0.000"
"【女子】／<％0.75秒量>／分散分析／地区×年度","","","","","","","","","","","","","","","0.430"
"【女子】／<％V25>／7年","100.8","30.0","102.8","29.5","103.1","28.4","98.6","33.6","102.2","29.0","100.9","30.7","100.6","28.2",""
"【女子】／<％V25>／8年","100.3","29.8","100.3","29.9","102.6","35.0","101.5","29.8","97.1","30.7","99.6","27.2","102.6","31.3",""
"【女子】／<％V25>／9年","100.6","27.4","101.7","28.5","101.7","29.0","99.0","28.7","97.7","29.1","102.6","30.5","105.0","29.9",""
"【女子】／<％V25>／10年","105.0","30.1","104.3","29.2","103.8","30.1","99.3","29.8","98.7","28.2","102.4","30.1","101.4","30.7",""
"【女子】／<％V25>／11年","99.2","29.2","100.6","31.2","99.8","28.5","96.0","29.4","92.7","29.8","100.9","29.7","100.3","28.3",""
"【女子】／<％V25>／分散分析／地区","","","","","","","","","","","","","","","0.000"
"【女子】／<％V25>／分散分析／年度","","","","","","","","","","","","","","","0.014"
"【女子】／<％V25>／分散分析／地区×年度","","","","","","","","","","","","","","","0.730"
