"","よい(％)","まあよい(％)","ふつう(％)","あまりよくない(％)","よくない(％)","無回答(％)"
"困窮層","53.7","8.3","33.4","","1.6","3.1"
"周辺層","59.1","5.7","29.9","1.6","","3.7"
"一般層","67.9","6.2","21.3","0.4","","4.2"
