"","青梅市","青梅市","東大和市","東大和市","八王子市","八王子市","中野区","中野区","豊島区","豊島区","品川区","品川区","足立区","足立区","分散分析／有意確率"
"<身長>／7年","142.4","8.18","142.5","8.23","142.8","7.99","142.8","8.76","143.0","7.82","142.5","8.71","141.4","7.73",""
"<身長>／8年","142.8","8.07","141.8","7.97","141.3","8.38","142.2","8.30","143.6","8.76","142.6","8.01","142.2","8.30",""
"<身長>／9年","143.1","8.59","141.7","8.28","142.9","8.48","143.6","8.33","143.9","8.76","143.4","8.35","142.3","8.39",""
"<身長>／10年","142.7","8.49","141.7","7.71","142.8","8.00","143.1","9.03","143.3","8.51","142.6","8.20","142.1","8.39",""
"<身長>／11年","141.9","8.15","142.9","8.52","142.5","8.58","142.4","8.56","143.8","8.43","144.2","7.68","142.5","8.65",""
"<身長>／分散分析／地区","","","","","","","","","","","","","","","0.000"
"<身長>／分散分析／年度","","","","","","","","","","","","","","","0.151"
"<身長>／分散分析／地区×年度","","","","","","","","","","","","","","","0.634"
"<胸囲>／7年","69.2","6.59","69.4","6.84","70.0","6.96","70.0","7.70","70.9","8.29","70.8","6.86","71.6","8.01",""
"<胸囲>／8年","71.2","6.85","70.2","6.74","69.8","7.36","71.9","8.82","73.5","8.22","72.3","6.96","72.6","8.25",""
"<胸囲>／9年","70.7","7.50","69.0","6.75","70.8","7.97","71.2","8.52","71.4","7.79","71.8","7.36","70.5","7.15",""
"<胸囲>／10年","70.8","8.38","69.3","7.07","70.3","7.61","71.4","7.90","71.4","8.41","70.7","7.17","70.4","7.25",""
"<胸囲>／11年","70.0","7.64","69.7","7.64","70.5","8.01","71.9","8.37","72.2","7.70","72.5","8.18","71.4","7.94",""
"<胸囲>／分散分析／地区","","","","","","","","","","","","","","","0.000"
"<胸囲>／分散分析／年度","","","","","","","","","","","","","","","0.000"
"<胸囲>／分散分析／地区×年度","","","","","","","","","","","","","","","0.050"
"<年齢>／7年","11.17","0.85","11.09","0.87","11.15","0.83","10.99","0.88","11.07","0.84","11.00","0.86","11.03","0.84",""
"<年齢>／8年","11.21","0.85","11.16","0.88","11.01","0.90","10.99","0.83","11.09","0.90","11.11","0.83","11.09","0.85",""
"<年齢>／9年","11.15","0.86","11.05","0.84","11.16","0.82","11.19","0.84","11.17","0.80","11.07","0.89","11.04","0.87",""
"<年齢>／10年","11.15","0.87","10.97","0.85","11.17","0.86","11.06","0.88","11.17","0.84","11.00","0.85","11.06","0.88",""
"<年齢>／11年","11.05","0.89","11.10","0.84","11.05","0.86","10.96","0.84","11.22","0.85","11.14","0.83","11.00","0.90",""
"<年齢>／分散分析／地区","","","","","","","","","","","","","","","0.003"
"<年齢>／分散分析／年度","","","","","","","","","","","","","","","0.614"
"<年齢>／分散分析／地区×年度","","","","","","","","","","","","","","","0.062"
