"","17年度","20年度","23年度","24年度","25年度","26年度目標／(第3期目標)","29年度目標／(第4期目標)"
"年度別就職者数(人)","717","980","1374","1630","1745","1500","2500"
"実施区市町村数(区市町村)","28","43","48","49","49","",""
