"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","0.3","1.7","11.7","85.3","0.9"
"19","0.6","2.0","13.9","82.6","0.9"
"14","0.6","3.3","11.4","82.5","2.3"
