"","70g（1皿）未満","70g 以上140g（2皿）未満","140g 以上210g（3皿）未満","210g 以上280g（4皿）未満","280g 以上350g（5皿）未満","350g以上"
"男性／人","11","15","29","32","21","56"
"男性／%","6.7","9.1","17.7","19.5","12.8","34.1"
"女性／人","11","32","41","35","22","51"
"女性／%","5.7","16.7","21.4","18.2","11.5","26.6"
