"","いる(％)","いないので欲しい(％)","必要ない(％)","無回答(％)"
"総数(7827人)","92.0","2.0","5.2","0.8"
"両親世帯(7165人)","92.3","1.7","5.2","0.8"
"母子世帯(600人)","90.5","4.7","4.3","0.5"
"父子世帯(62人)","74.2","6.5","19.4",""
