"","割合(%)"
"子育てに関する悩みを気軽に相談できるような活動","52.3"
"子育てをする親同士で話しができる仲間づくりの活動","41.3"
"不意の外出の時などに子どもを預かる活動","31.8"
"子育てに関連した情報を簡単に入手しあえるような活動","31.8"
"子育て家庭の家事を支援する活動","30.4"
