"","２日以下(%)","３日(%)","４日(%)","５日(%)","６日以上(%)","サンプル数","平均"
"TOTAL","","17.9","26.0","51.9","","1916","4.3"
"正規職員雇用のみ希望者","","","3.6","90.7","5.2","386","5.0"
"パート・非常勤雇用のみ希望者","3.1","27.2","38.9","30.1","","1009","4.0"
"正規職員またはパート・非常勤雇用希望者","","5.5","10.3","80.8","3.4","146","4.8"
