"","青梅市","青梅市","東大和市","東大和市","八王子市","八王子市","中野区","中野区","豊島区","豊島区","品川区","品川区","足立区","足立区","分散分析"
"<0.75秒量>／8年","1.98","0.26","1.98","0.24","1.98","0.24","2.02","0.26","1.97","0.26","1.96","0.21","1.99","0.25",""
"<0.75秒量>／9年","1.98","0.24","1.96","0.23","1.97","0.24","1.98","0.23","1.97","0.25","1.97","0.24","2.01","0.23",""
"<0.75秒量>／10年","2.00","0.24","1.99","0.25","2.00","0.23","1.97","0.24","1.97","0.23","1.98","0.23","2.00","0.24",""
"<0.75秒量>／11年","1.96","0.23","1.95","0.24","1.97","0.23","1.99","0.25","1.93","0.27","1.97","0.24","1.98","0.23",""
"<0.75秒量>／分散分析／地区","","","","","","","","","","","","","","","0.000"
"<0.75秒量>／分散分析／年度","","","","","","","","","","","","","","","0.001"
"<0.75秒量>／分散分析／地区×年度","","","","","","","","","","","","","","","0.207"
"<0.75秒率>／8年","80.7","6.69","80.9","6.35","80.5","6.29","81.2","5.92","80.00","6.82","81.2","5.99","80.9","6.54",""
"<0.75秒率>／9年","80.9","6.24","81.0","5.99","81.2","6.09","81.1","6.43","80.70","6.16","81.6","6.14","81.1","6.11",""
"<0.75秒率>／10年","81.3","6.22","81.1","6.05","81.6","5.92","80.9","6.49","80.8","5.92","81.6","5.94","80.70","5.99",""
"<0.75秒率>／11年","81.6","6.01","81.0","6.36","81.0","6.24","80.8","6.15","80.50","6.66","81.7","5.85","81.2","6.12",""
"<0.75秒率>／分散分析／地区","","","","","","","","","","","","","","","0.000"
"<0.75秒率>／分散分析／年度","","","","","","","","","","","","","","","0.009"
"<0.75秒率>／分散分析／地区×年度","","","","","","","","","","","","","","","0.771"
"<V25>／7年","1.50","0.46","1.51","0.45","1.51","0.45","1.47","0.48","1.48","0.43","1.47","0.42","1.46","0.42",""
"<V25>／8年","1.48","0.47","1.48","0.44","1.47","0.43","1.50","0.45","1.43","0.45","1.47","0.42","1.48","0.44",""
"<V25>／9年","1.46","0.43","1.46","0.42","1.47","0.45","1.46","0.43","1.44","0.44","1.50","0.45","1.49","0.45",""
"<V25>／10年","1.50","0.44","1.49","0.44","1.50","0.45","1.46","0.45","1.45","0.43","1.49","0.43","1.46","0.44",""
"<V25>／11年","1.48","0.44","1.46","0.44","1.48","0.44","1.45","0.44","1.41","0.45","1.47","0.44","1.47","0.43",""
"<V25>／分散分析／地区","","","","","","","","","","","","","","","0.007"
"<V25>／分散分析／年度","","","","","","","","","","","","","","","0.158"
"<V25>／分散分析／地区×年度","","","","","","","","","","","","","","","0.748"
