"","入校(人)","修了(人)","就職(人)","修了者に対する就職率(％)"
"H16","","","",""
"H17","98","79","51","64.6"
"H18","181","153","91","59.5"
"H19","172","146","94","64.4"
"H20","172","143","84","58.7"
