"年代","20歳代","30歳代","40歳代","50歳代","60歳代","70歳以上","(再掲)20歳以上"
"男性／人数(人)","15","16","23","27","30","39","150"
"男性(人)","7","7","9","14","14","13","64"
"男性(%)","46.7","43.8","39.1","51.9","46.7","33.3","42.7"
"女性／人数(人)","9.0","13.0","46.0","30.0","36.0","38.0","172.0"
"女性(人)","6","7","20","13","14","9","69"
"女性(%)","66.7","53.8","43.5","43.3","38.9","23.7","40.1"
