"","青梅市","青梅市","東大和市","東大和市","八王子市","八王子市","中野区","中野区","豊島区","豊島区","品川区","品川区","足立区","足立区","分散分析"
"<0.75秒量>／8年","1.97","0.39","1.99","0.40","1.97","0.37","2.02","0.40","2.02","0.39","1.96","0.36","2.02","0.40",""
"<0.75秒量>／9年","1.98","0.38","1.97","0.40","1.98","0.39","1.94","0.36","2.01","0.41","1.97","0.39","2.04","0.40",""
"<0.75秒量>／10年","2.00","0.40","2.01","0.40","2.00","0.39","1.95","0.38","2.01","0.39","1.98","0.37","2.00","0.39",""
"<0.75秒量>／11年","1.95","0.41","1.94","0.40","1.93","0.36","1.96","0.39","1.90","0.36","2.01","0.39","1.95","0.39",""
"<0.75秒量>／分散分析／地区","","","","","","","","","","","","","","","0.466"
"<0.75秒量>／分散分析／年度","","","","","","","","","","","","","","","0.007"
"<0.75秒量>／分散分析／地区×年度","","","","","","","","","","","","","","","0.148"
"<0.75秒率>／8年","83.0","6.34","82.1","7.12","82.9","6.12","83.1","6.04","81.7","7.24","83.0","5.94","82.7","6.95",""
"<0.75秒率>／9年","83.5","5.97","83.2","6.45","83.5","5.83","83.2","6.25","82.6","6.59","83.7","6.28","83.3","6.07",""
"<0.75秒率>／10年","84.0","6.16","83.6","5.83","83.9","5.79","83.0","6.31","82.9","6.01","84.0","6.46","82.8","6.37",""
"<0.75秒率>／11年","83.8","5.64","83.1","6.53","83.2","6.31","82.3","6.22","82.4","6.84","84.1","5.76","83.3","5.85",""
"<0.75秒率>／分散分析／地区","","","","","","","","","","","","","","","0.000"
"<0.75秒率>／分散分析／年度","","","","","","","","","","","","","","","0.001"
"<0.75秒率>／分散分析／地区×年度","","","","","","","","","","","","","","","0.903"
"<0.75秒率>／分散分析／98,97,99>96","","","","","","","","","","","","","","",""
"<V25>／7年","1.57","0.54","1.61","0.52","1.61","0.53","1.52","0.58","1.60","0.52","1.58","0.51","1.56","0.50",""
"<V25>／8年","1.56","0.53","1.57","0.55","1.56","0.50","1.57","0.54","1.54","0.53","1.55","0.47","1.61","0.58",""
"<V25>／9年","1.57","0.49","1.59","0.51","1.59","0.51","1.50","0.49","1.56","0.53","1.59","0.52","1.65","0.55",""
"<V25>／10年","1.63","0.53","1.63","0.52","1.61","0.55","1.52","0.54","1.56","0.54","1.58","0.51","1.57","0.54",""
"<V25>／11年","1.54","0.53","1.57","0.55","1.54","0.52","1.49","0.54","1.44","0.53","1.59","0.53","1.54","0.53",""
"<V25>／分散分析／地区","","","","","","","","","","","","","","","0.015"
"<V25>／分散分析／年度","","","","","","","","","","","","","","","0.041"
"<V25>／分散分析／地区×年度","","","","","","","","","","","","","","","0.716"
"<V25>／分散分析／98>99","","","","","","","","","","","","","","",""
