"上段：度数／下段：%","n=","２日以下","３日","４日","５日","６日以上","無回答","平均値"
"ＴＯＴＡＬ","3969","35","322","401","1508","55","1648","4.5"
"ＴＯＴＡＬ","100","0.9","8.1","10.1","38.0","1.4","41.5",""
"性別・年代／女性計","3618","33","303","383","1392","41","1466","4.5"
"性別・年代／女性計","100","0.9","8.4","10.6","38.5","1.1","40.5",""
"性別・年代／女性２０代","1678","1","42","79","794","26","736","4.9"
"性別・年代／女性２０代","100","0.1","2.5","4.7","47.3","1.5","43.9",""
"性別・年代／女性３０代","987","7","116","156","340","11","357","4.4"
"性別・年代／女性３０代","100","0.7","11.8","15.8","34.4","1.1","36.2",""
"性別・年代／女性４０代","662","10","96","109","195","2","250","4.2"
"性別・年代／女性４０代","100","1.5","14.5","16.5","29.5","0.3","37.8",""
"性別・年代／女性５０代以上","272","15","48","36","54","2","117","3.9"
"性別・年代／女性５０代以上","100","5.5","17.6","13.2","19.9","0.7","43.0",""
"性別・年代／男性計","224","1","3","4","66","11","139","5.0"
"性別・年代／男性計","100","0.4","1.3","1.8","29.5","4.9","62.1",""
"性別・年代／男性２０代","135","0","0","3","43","5","84","5.0"
"性別・年代／男性２０代","100","0.0","0.0","2.2","31.9","3.7","62.2",""
"性別・年代／男性３０代以上","88","1","3","1","22","6","55","4.9"
"性別・年代／男性３０代以上","100","1.1","3.4","1.1","25.0","6.8","62.5",""
"性別・年代／無回答","127","1","16","14","50","3","43","4.5"
"性別・年代／無回答","100","0.8","12.6","11.0","39.4","2.4","33.9",""
