"","","昭和58年(%)","昭和63年(%)","平成４年(%)","平成９年(%)","平成14年(%)"
"男性","いずれ結婚するつもり","95.9","91.8","90.0","85.9","87.0"
"男性","一生結婚するつもりはない","2.3","4.5","4.9","6.3","5.4"
"男性","不詳","1.8","3.7","5.1","7.8","7.7"
"女性","いずれ結婚するつもり","94.2","92.9","90.2","89.1","88.3"
"女性","一生結婚するつもりはない","4.1","4.6","5.2","4.9","5.0"
"女性","不詳","1.7","2.5","4.6","6.0","6.7"
