"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","10.2","4.3","2.3","3.8","5.5","7.6","9.6","12.6","15.6","18.5","22.9"
"1～2歳","4","5.8","3","2","2.4","2.9","4.2","6.3","7.9","8.4","8.6","8.8"
"3～5歳","5","6.6","1.7","4.9","5","5.1","5.4","5.8","8.4","8.5","8.5","8.6"
"6～7歳","6","7.8","1.5","5.3","5.6","5.9","6.9","8.4","8.6","9","9.2","9.3"
"8～9歳","3","12.5","3","9.5","9.7","10.1","11.1","12.9","14.1","14.9","15.1","15.3"
"10～11歳","5","12.1","2.2","9.1","9.4","9.8","10.8","12.8","13.1","14.1","14.4","14.6"
"12～14歳","8","10.3","5.6","3.8","4.3","5","6.1","9.5","13.1","18","18.5","18.8"
"15～17歳","6","10.6","1.4","8.9","8.9","9","9.5","10.9","11.2","12","12.3","12.6"
"18～29歳","20","8.9","3.1","5.3","0.3","5.9","6.9","8.3","10.2","12.4","12.8","16.8"
"30～49歳","42","9.6","3.6","3","3.7","5.5","7.3","9.6","11.1","14","15.3","17.8"
"50～69歳","60","10.8","4.6","2.9","3.6","6.2","8.4","10.1","12.7","16.9","19.2","24"
"70歳以上","46","11.4","5","1.1","4.4","6","8.6","10.8","14.3","17.6","20.1","23.3"
"女性総数","228","10.3","5.4","1.6","4.3","5.4","7","9.4","12.4","15.5","18.1","24.8"
"1～2歳","3","5.9","1.7","4.9","4.9","4.9","4.9","4.9","6.4","7.3","7.6","7.9"
"3～5歳","2","10","4.9","6.6","6.9","7.3","8.3","10","11.8","12.8","13.2","13.4"
"6～7歳","6","8","4.1","4.5","4.7","4.9","5.6","6.3","9","12.7","14.1","15.2"
"8～9歳","4","8","2.4","5.5","5.6","5.8","6.4","7.8","9.3","10.3","10.6","10.8"
"10～11歳","1","9.5","0","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5"
"12～14歳","8","10.3","1.9","7.5","7.9","8.4","9.1","10.1","11.8","12.4","12.8","13.2"
"15～17歳","7","8.8","2.3","5.3","6","6.8","7.8","8.3","10.2","11.1","11.6","12"
"18～29歳","17","9.6","4.9","4.9","5.3","5.8","6.9","8.4","9.8","13.9","16.7","23.8"
"30～49歳","60","9.2","3.4","3","4.3","5.7","6.8","8.7","10.9","14.7","15.4","16.2"
"50～69歳","71","11.2","5.9","1.8","3.9","5.5","737","10","14.1","16.8","21.7","28.1"
"70歳以上","49","11.5","7.5","1.3","3.9","4.4","7.4","10.5","13.9","17.8","20.1","36.6"
"(再掲)妊婦","1","10.7","0","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7"
"授乳婦","1","7","0","7","7","7","7","7","7","7","7","7"
