"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"たくさん見かけた","16","5.3","33","10.5"
"時々見かけた","106","35.1","111","35.2"
"一度も見かけていない","54","17.9","86","27.3"
"たばこの会社名や商品名を知らない","120","39.7","78","24.8"
"無記入","6","2.0","7","2.2"
"合計","302","100.0","315","100.0"
