"","現在保育士就業中(%)","過去保育士就業経験有(%)","保育士就業経験無(%)","無回答(%)","サンプル数"
"TOTAL","53.4","18.7","25.8","","15369"
"女性計","53.5","18.8","25.7","","14059"
"女性２０代","57.8","11.1","29.4","","5708"
"女性３０代","44.4","26.4","27.2","","3634"
"女性４０代","54.5","20.6","23.1","","2861"
"女性５０代以上","57.4","24.3","15.5","","1751"
"男性計","54.2","12.3","32.0","","701"
"男性２０代","59.4","10.8","28.5","","473"
"男性３０代以上","43.8","15.5","38.9","","226"
