"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","3.4","1.5","0.7","1.3","1.7","2.4","3.3","4.3","5.3","6.4","8.1"
"1～2歳","4","2.2","1","0.8","0.9","1.2","1.8","2.5","2.9","2.9","3","3"
"3～5歳","5","2","0.4","1.7","1.7","1.7","1.8","1.8","2.2","2.5","2.5","2.6"
"6～7歳","6","2.7","0.6","1.7","1.8","1.9","2.3","2.8","3.2","3.3","3.3","3.3"
"8～9歳","3","4.2","1.1","3","3.1","3.3","3.8","4.6","4.9","5","5.1","5.1"
"10～11歳","5","4.4","1.1","3.3","3.4","3.4","3.6","4","5.3","5.6","5.7","5.8"
"12～14歳","8","3.8","2.3","0.8","1","1.3","1.9","3.8","5.8","6.5","6.6","6.7"
"15～17歳","6","3.5","0.9","2.6","2.7","2.7","2.9","3.4","3.9","4.6","4.8","5.1"
"18～29歳","20","3.2","1.2","1.2","1.6","1.9","2.2","3.1","3.8","4.5","4.6","5.6"
"30～49歳","42","3.3","1.6","0.9","1.3","1.4","2.4","3","4.4","4.9","5.3","7.5"
"50～69歳","60","3.6","1.6","0.9","1.6","1.9","2.6","3.3","4.2","5.7","6.8","8.5"
"70歳以上","46","3.5","1.5","0.4","1.6","1.9","2.5","3.4","4.2","5.3","6.4","7.3"
"女性総数","228","3.3","1.5","0.6","1.4","1.6","2.3","3","4","5.2","5.9","7.2"
"1～2歳","3","1.9","0.9","1.4","1.4","1.4","1.4","1.4","2.2","2.6","2.8","2.9"
"3～5歳","2","3.9","1.8","2.6","2.7","2.8","3.2","3.9","4.5","4.9","5","5.1"
"6～7歳","6","2.6","0.8","1.8","1.9","2","2.2","2.3","3.2","3.6","3.7","3.7"
"8～9歳","4","2.8","0.8","1.6","1.8","2","2.6","3.1","3.3","3.4","3.4","3.4"
"10～11歳","1","3.6","0","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6","3.6"
"12～14歳","8","3.9","1.6","2.2","2.2","2.3","2.7","3.7","4.6","5.8","6.3","6.8"
"15～17歳","7","3","1.1","1.5","1.6","1.7","2.2","3.5","3.7","4.1","4.3","4.5"
"18～29歳","17","2.9","1.2","1.7","1.7","1.8","2.1","2.7","3.2","4.5","5.5","5.6"
"30～49歳","60","3.1","1.2","0.9","1.5","1.7","2.3","2.9","3.7","4.9","5.2","6"
"50～69歳","71","3.5","1.7","0.8","1.3","1.6","2.4","3.3","4.3","5.8","6.6","8.1"
"70歳以上","49","3.4","1.6","0.4","1.3","1.7","2.3","3.4","4.1","5.3","6.1","7.2"
"(再掲)妊婦","1","5.1","0","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1"
"授乳婦","1","1.7","0","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7"
