"","平成26年度(人数)","平成26年度(％)"
"総数（n=3398）","490","14.4"
"男子（ｎ＝1599）","256","16.0"
"女子（ｎ＝1572）","192","12.2"
"性別無回答（n=227）","42","18.5"
"無回答","37",""
