"","男女計／件数","男女計／％","男性／件数","男性／％","女性／件数","女性／％"
"補習塾形式","63","52.5","27","51.9","36","52.9"
"家庭教師の派遣","35","29.2","18","34.6","17","25.0"
"その他","15","12.5","6","11.5","9","13.2"
"無回答","7","5.8","1","1.9","6","8.8"
"合計","120","100.0","52","100.0","68","100.0"
