"年齢","人","平均値(μg)","標準偏差(μg)","パーセンタイル／1(μg)","パーセンタイル／5(μg)","パーセンタイル／10(μg)","パーセンタイル／25(μg)","パーセンタイル／50(中央値)(μg)","パーセンタイル／75(μg)","パーセンタイル／90(μg)","パーセンタイル／95(μg)","パーセンタイル／99(μg)"
"男性総数","205","283","161","51","104","131","187","251","336","467","525","809"
"1～2歳","4","162","98","41","52","65","106","178","234","245","248","251"
"3～5歳","5","141","30","93","102","113","146","148","154","162","165","167"
"6～7歳","6","191","49","138","142","146","156","180","226","247","253","258"
"8～9歳","3","216","62","148","155","164","192","237","251","260","263","265"
"10～11歳","5","243","64","165","175","187","223","232","258","306","322","335"
"12～14歳","8","251","136","105","117","133","149","221","302","424","464","496"
"15～17歳","6","219","56","147","155","166","189","213","251","279","290","299"
"18～29歳","20","310","278","112","132","167","182","226","326","436","513","1235"
"30～49歳","42","255","123","99","104","106","181","233","309","400","469","634"
"50～69歳","60","322","174","76","114","147","220","292","373","508","720","851"
"70歳以上","46","304","133","36","104","168","217","283","385","465","517","633"
"女性総数","228","274","130","58","96","133","183","248","328","455","543","619"
"1～2歳","3","149","21","129","131","133","138","148","159","165","168","169"
"3～5歳","2","272","79","217","221","227","244","272","300","317","322","327"
"6～7歳","6","186","69","122","127","132","145","155","219","270","285","297"
"8～9歳","4","223","79","110","127","148","211","256","269","273","275","276"
"10～11歳","1","181","0","181","181","181","181","181","181","181","181","181"
"12～14歳","8","268","76","187","193","199","227","248","280","376","391","403"
"15～17歳","7","196","60","132","132","133","158","184","229","276","278","280"
"18～29歳","17","263","135","90","135","156","189","238","306","413","539","609"
"30～49歳","60","250","112","78","92","119","178","227","301","392","460","566"
"50～69歳","71","300","144","48","92","127","205","284","368","541","570","639"
"70歳以上","49","306","142","59","121","170","207","290","395","459","528","711"
"(再掲)妊婦","1","297","0","297","297","297","297","297","297","297","297","297"
"授乳婦","1","230","0","230","230","230","230","230","230","230","230","230"
