"","問4-1で「１．はい」と回答した施設を対象として（施設数）","１できた／施設数","１できた／割合","２どちらかというとできた／施設数","２どちらかというとできた／割合","３あまりできなかった／施設数","３あまりできなかった／割合","４できなかった／施設数","４できなかった／割合","無回答／施設数","無回答／割合"
"認可保育所＊","294","210","71.4","75","25.5","4","1.4","1","0.3","4","1.4"
"認証保育所＊","20","17","85.0","3","15.0","","","","","",""
"認定こども園＊","8","6","75.0","2","25.0","","","","","",""
"幼稚園＊","34","24","70.6","10","29.4","","","","","",""
"ベビーホテル","10","9","90.0","1","10.0","","","","","",""
"家庭的保育","12","8","66.7","4","33.3","","","","","",""
"学童保育","79","52","65.8","25","31.6","1","1.3","","","1","1.3"
"上記以外の施設","29","20","69.0","7","24.1","","","","","2","6.9"
"総数","486","346","71.2","127","26.1","5","1.0","1","0.2","7","1.4"
"＊前回調査施設 (再掲）","356","257","72.2","90","25.3","4","1.1","1","0.3","4","1.1" 
