"","回答個数","構成比(%)"
"１個","43","9.2"
"２個","164","35.3"
"３個","101","21.7"
"４個","68","14.6"
"５個","59","12.7"
"６個","18","3.9"
"７個","7","1.5"
"８個","3","0.6"
"９個","0",""
"１０個","0",""
"１１個","0",""
"１２個","0",""
"無回答","2","0.4"
"合計","465","100.0"
