"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","19.9","46","27.2","6.1","0.7"
"19","19.5","44.1","44.1","6.1","0.9"
"14","21.4","40.6","29.9","5.9","2.2"
"9","31.7","38.2","24.4","5.2","0.5"
