"","100万未満(%)","100～200万未満(%)","200～400万未満(%)","400～600万未満(%)","600～800万未満(%)","800万以上(%)","無回答(%)"
"24年(670世帯)","18.3","23.6","30.8","13.3","5.8","3.0","5.3"
"19年(527世帯)","12.9","26.0","32.7","13.5","5.3","4.4","5.3"
"14年(595世帯)","9.6","25.4","35.0","11.4","6.9","3.9","7.9"
