"","昭和35年","昭和40年","(昭和41年)ひのえうま(％)","昭和45年","第2次ベビーブーム(昭和46～49年)","昭和50年","昭和55年","昭和60年","平成元年(％)","平成2年","平成7年","平成12年","平成17年(％)","平成20年(％)"
"全国","","","1.58","","","","","","1.57","","","","1.26","1.37"
"東京都","","","","","","","","","","","","","1.00","1.09"
