"区分","認可保育所／施設数(所)","認可保育所／施設数(所)／対前年増減","認可保育所／定員(人)","認可保育所／定員(人)／対前年増減","認証保育所／施設数(所)","認証保育所／施設数(所)／対前年増減","認証保育所／定員(人)","認証保育所／定員(人)／対前年増減"
"平成22年","1740","35","173532","4348","528","80","17307","3146"
"平成23年","1800","60","181384","7852","598","70","19988","2681"
"平成24年","1855","55","186698","5314","652","54","22036","2048"
"平成25年","1915","60","193757","7059","694","42","23519","1483"
"平成26年","2019","104","203170","9413","719","25","24527","1008"
"平成27年","2184","165","216699","13529","700","-19","23912","-615"
