"","H12(%)","H13(%)","H14(%)","H15(%)","H16(%)","H17(%)","H18(%)","H19(%)","H20(%)","H21(%)"
"15～24歳","8.3","","9.8","","","","","","","6.7"
"25～34歳","5.7","","6.6","","","","","","","6.3"
"全体","5.0","","5.6","","","","","","","4.7"
