"","昭和35年","昭和40年","昭和45年","昭和50年","昭和55年","昭和60年","平成2年","平成7年","平成12年","平成17年","平成22年","平成27年(予測値)","平成32年(予測値)","平成37年(予測値)","平成42年(予測値)","平成47年(予測値)"
"人口(人)","","","","","","","","","","","","","","","",""
"割合(％)","","","","","","","","","","","","","","","",""
