"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","1.1","8.5","41.8","47.7","1.0"
"19","0.9","9.1","39.9","49.1","1.0"
"14","1.3","9.2","36.5","50.4","2.6"
"9","1.4","9.4","29.0","59.3","1.0"
