"","女性(%)","男性(%)","無回答(%)","サンプル数"
"TOTAL","91.5","4.6","4.0","15369"
"現在保育士就業中","91.6","4.6","3.7","8214"
"過去保育士就業経験有","92.0","","5.0","2871"
"保育士就業経験無","91.2","5.6","3.2","3969"
