"","青梅市","青梅市","東大和市","東大和市","八王子市","八王子市","中野区","中野区","豊島区","豊島区","品川区","品川区","足立区","足立区","分散分析"
"<0.75秒量>／8年","1.95","0.25","1.96","0.26","1.97","0.23","1.99","0.26","1.94","0.26","1.93","0.22","1.97","0.26",""
"<0.75秒量>／9年","1.96","0.25","1.94","0.24","1.96","0.24","1.97","0.22","1.94","0.25","1.96","0.25","2.01","0.23",""
"<0.75秒量>／10年","1.98","0.25","1.99","0.25","1.98","0.24","1.96","0.23","1.96","0.23","1.98","0.26","1.99","0.25",""
"<0.75秒量>／11年","1.94","0.25","1.92","0.27","1.94","0.23","1.95","0.26","1.88","0.25","1.96","0.26","1.96","0.23",""
"<0.75秒量>／分散分析／地区","","","","","","","","","","","","","","","0.000"
"<0.75秒量>／分散分析／年度","","","","","","","","","","","","","","","0.000"
"<0.75秒量>／分散分析／地区×年度","","","","","","","","","","","","","","","0.425"
"<0.75秒率>／8年","82.9","6.32","82.2","6.97","82.7","6.16","83.3","5.99","82.00","7.07","83.0","5.91","82.8","6.93",""
"<0.75秒率>／9年","83.3","5.84","83.1","6.26","83.3","5.81","83.1","6.23","82.60","6.49","83.7","6.20","83.4","6.02",""
"<0.75秒率>／10年","83.9","6.07","83.5","5.81","83.7","5.78","83.1","6.36","83.0","5.97","83.9","6.29","82.90","6.24",""
"<0.75秒率>／11年","83.7","5.48","83.0","6.47","83.0","6.23","82.30","6.25","82.6","6.75","84.3","5.78","83.4","5.86",""
"<0.75秒率>／分散分析／地区","","","","","","","","","","","","","","","0.002"
"<0.75秒率>／分散分析／年度","","","","","","","","","","","","","","","0.008"
"<0.75秒率>／分散分析／地区×年度","","","","","","","","","","","","","","","0.860"
"<V25>／7年","1.56","0.48","1.57","0.47","1.59","0.45","1.52","0.53","1.57","0.46","1.55","0.47","1.54","0.45",""
"<V25>／8年","1.53","0.48","1.53","0.48","1.54","0.44","1.55","0.47","1.48","0.49","1.51","0.43","1.57","0.50",""
"<V25>／9年","1.53","0.43","1.54","0.45","1.55","0.44","1.52","0.44","1.49","0.46","1.57","0.47","1.61","0.47",""
"<V25>／10年","1.60","0.46","1.59","0.44","1.58","0.47","1.53","0.45","1.52","0.45","1.57","0.46","1.56","0.47",""
"<V25>／11年","1.52","0.45","1.53","0.49","1.53","0.43","1.47","0.46","1.43","0.47","1.55","0.48","1.55","0.44",""
"<V25>／分散分析／地区","","","","","","","","","","","","","","","0.003"
"<V25>／分散分析／年度","","","","","","","","","","","","","","","0.012"
"<V25>／分散分析／地区×年度","","","","","","","","","","","","","","","0.783"
