"","H17年度","H19年度","H21年度","H23年度","H24年度","H25年度","H26年度","H27年度","H28年度","計画(第4期目標)"
"年度別就職者数(人)","717","953","989","1374","1630","1745","1759","1858","1913","2500"
"実施区市町村数(区市町村)","28","37","45","48","49","49","49","50","51",""
