"","内容／件数","特定動物の取扱い／有り","特定動物の取扱い／有り(%)","許可制の知識／有り","許可制の知識／有り(%)","許可制の知識／無し","許可制の知識／無し(%)","範囲の知識／有り","範囲の知識／有り(%)","範囲の知識／無し","範囲の知識／無し(%)","購入希望者へ説明／有り","購入希望者へ説明／有り(%)","仕入先の記録／有り","仕入先の記録／有り(%)","販売先の記録／有り","販売先の記録／有り(%)"
"全体（％）","340","2","1","155","46","185","54","112","33","228","67","1","0","2","1","2","1"
"売買（％）","238","2","1","112","47","97","41","80","34","158","66","1","0","2","1","2","1"
"貸出（％）","5","1","20","3","60","2","40","2","40","3","60","","","","","",""
"保管（％）","135","2","1","64","47","71","53","45","33","90","67","","","","","",""
"訓練（％）","17","0","0","10","59","7","41","5","29","12","71","","","","","",""
"輸出入（％）","6","0","0","3","50","3","50","2","33","4","67","","","","","",""
"美容（％）","208","1","0","90","43","118","57","62","30","146","70","","","","","",""
