"","男性(%)","女性(%)"
"5g未満","3.7","12.0"
"5g以上10g未満","40.9","48.4"
"10g以上15g未満","39.6","34.4"
"15g以上20g未満","13.4","4.7"
"20g以上","2.4","0.5"
