"保険者番号","保険者別","料(税)率／所得割(%)","料(税)率／資産割(%)","料(税)率／均等割(円)","料(税)率／平等割(円)","料(税)率／その他","賦課限度額(千円)","賦課期日現在／所得割の課税対象額(千円)","賦課期日現在／資産割の課税対象額(千円)","賦課期日現在／課税対象世帯数(世帯)","賦課期日現在／課税対象被保険者数(人)","賦課期日現在／軽減世帯数(世帯)","賦課期日現在／災害等による減免世帯数(世帯)","賦課期日現在／その他の減免世帯数(世帯)","賦課期日現在／限度額を超える世帯数(世帯)","所得割の算定基礎","資産割の算定基礎","備考"
"","公営計","62","9","62","11","","","1707226721","61721","1069357","1272961","403071","113","901","24704","","",""
"","特別区計","23","","23","","","","1259845422","","753682","891087","279470","47","613","17817","","",""
"","市町村計","39","9","39","11","","","447381299","61721","315675","381874","123601","66","288","6887","","",""
"","多摩計","30","","30","2","","","443216864","","312111","377506","122228","66","288","6866","","",""
"","島しょ計","9","9","9","9","","","4164435","61721","3564","4368","1373","0","0","21","","",""
"","組合計","","","","","22","","","","400024","580932","","271","116","0","","",""
"1","千代田区","0.70","","14700","","","160","13292966","","3952","4624","1261","0","0","108","イ","","-課税(賦課)標準-"
"2","中央区","0.97","","14700","","","160","22419331","","10799","12327","3760","0","7","257","イ","",""
"3","港区","0.98","","14700","","","160","87636309","","21964","25229","7575","1","4","859","イ","","所得割の算定基礎"
"4","新宿区","1.40","","14700","","","160","43838951","","29939","34389","10841","1","5","620","イ","",""
"5","文京区","1.21","","14700","","","160","30762085","","15312","17964","4877","2","5","528","イ","","イ 旧ただし書方式による基礎控除後の金額"
"6","台東区","1.57","","14700","","","160","29197128","","18995","22516","6943","2","2","508","イ","",""
"7","墨田区","1.62","","14700","","","160","29692611","","22270","26374","9038","0","2","361","イ","",""
"8","江東区","1.48","","14700","","","160","48704193","","37590","44535","14797","7","11","636","イ","",""
"9","品川区","1.34","","14700","","","160","46517167","","29333","34100","10875","0","0","603","イ","","ロ 本文方式による所得控除及び基礎控除後の金額"
"10","目黒区","1.17","","14700","","","160","54725105","","22117","25926","7666","0","18","605","イ","",""
"11","大田区","1.35","","14700","","","160","79339107","","53603","63160","19432","3","12","1073","イ","",""
"12","世田谷区","1.50","","14700","","","160","146719713","","69290","82282","23708","1","0","2634","イ","",""
"13","渋谷区","1.06","","14700","","","160","61954532","","21486","24697","7587","1","77","776","イ","",""
"14","中野区","1.58","","14700","","","160","40913580","","28750","33090","10510","3","0","632","イ","","ハ 市町村民税の所得割額"
"15","杉並区","1.45","","14700","","","160","77134082","","45232","52743","15355","4","21","1085","イ","",""
"16","豊島区","1.49","","14700","","","160","40699105","","25147","29135","9343","2","1","664","イ","","ニ 市町村民税額等"
"17","北区","1.56","","14700","","","160","31857756","","27780","32510","11702","1","1","450","イ","",""
"18","荒川区","1.65","","14700","","","160","23692333","","18774","22580","7533","0","0","361","イ","","ホ その他"
"19","板橋区","1.65","","14700","","","160","57487928","","43855","51964","17151","0","39","818","イ","",""
"20","練馬区","1.48","","14700","","","160","87712797","","54164","65357","20106","3","2","1317","イ","",""
"21","足立区","1.64","","14700","","","160","80144046","","60981","74157","23811","10","354","1230","イ","","－資産割の算定基礎－"
"22","葛飾区","1.76","","14700","","","160","51138789","","38901","46894","15437","1","11","767","イ","",""
"23","江戸川区","1.49","","14700","","","160","74265808","","53448","64534","20162","5","41","925","イ","","イ 固定資産税額等"
"24","八王子市","1.60","","11000","","","140","52820041","","42347","51505","16853","4","1","938","イ","","ロ 固定資産税のうち土地家屋に係る部分の額"
"25","立川市","1.55","","14100","","","160","18264483","","13538","16218","5554","0","58","277","イ","",""
"26","武蔵野市","1.40","","11400","","","120","20930318","","10682","12605","3809","2","2","540","イ","",""
"27","三鷹市","1.40","","12500","","","140","25531492","","13503","16250","4933","3","37","416","イ","",""
"28","青梅市","1.55","","9300","","","160","12994842","","10781","13117","4493","1","5","134","イ","","ハ その他"
"29","府中市","1.49","","9240","","","120","26584324","","18373","22156","7124","0","22","544","イ","",""
"30","昭島市","1.55","","14000","","","160","10549317","","8884","10660","3739","0","0","138","イ","",""
"31","調布市","1.25","","9300","","","140","27276297","","16893","20217","6472","1","42","353","イ","",""
"32","町田市","1.17","","8400","3000","","160","44850157","","30537","37078","11598","4","5","374","イ","",""
"33","福生市","1.30","","11000","","","160","6210311","","5416","6468","2337","0","0","52","イ","",""
"34","羽村市","1.20","","11000","","","160","5761832","","4438","5393","1689","0","0","53","イ","",""
"35","瑞穂町","1.40","","11900","","","160","4180294","","3071","3877","1182","2","2","32","イ","",""
"36","あきる野市","1.53","","12000","","","160","7452718","","6418","7873","2573","0","0","82","イ","",""
"37","日の出町","1.30","","10500","","","160","1347510","","1255","1546","496","0","0","10","イ","",""
"39","檜原村","1.30","","11000","","","160","202418","","248","308","115","0","0","1","イ","",""
