"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"男女ともにいる","7","2.3","23","7.3"
"男友達がいる","15","5.0","36","11.4"
"女友達がいる","3","1.0","6","1.9"
"いない","273","90.4","249","79.1"
"無記入","4","1.3","1","0.3"
"合計","302","100.0","315","100.0"
